iter	RMSE
0	1.384196379
1	1.381686088
2	1.3793159
3	1.377020186
4	1.375071689
5	1.373367076
6	1.372407079
7	1.371440189
8	1.370237777
9	1.369148675
10	1.36840123
11	1.36781591
12	1.366924017
13	1.366092202
14	1.365397101
15	1.364568271
16	1.363806721
17	1.363163922
18	1.362568306
19	1.362025564
20	1.361503083
21	1.361057099
22	1.36041837
23	1.359962758
24	1.359399413
25	1.358803325
26	1.358375907
27	1.358052525
28	1.357674249
29	1.357184365
30	1.35680293
31	1.356279094
32	1.355890834
33	1.355691257
34	1.355343026
35	1.355007887
36	1.354773138
37	1.354414738
38	1.354145085
39	1.353906605
40	1.353680919
41	1.353399368
42	1.353061948
43	1.352674266
44	1.352344982
45	1.35214909
46	1.351811143
47	1.351610975
48	1.351475275
49	1.351183917
50	1.350849716
51	1.350610823
52	1.350262667
53	1.350015455
54	1.349855727
55	1.349661167
56	1.349512407
57	1.349336407
58	1.34902151
59	1.348745422
60	1.348489821
61	1.348337573
62	1.348140691
63	1.347958268
64	1.347777233
65	1.347513424
66	1.347237062
67	1.347051455
68	1.346851558
69	1.346615104
70	1.346409912
71	1.346244799
72	1.346036365
73	1.345655169
74	1.345458603
75	1.345198714
76	1.345040021
77	1.344859151
78	1.344689042
79	1.344556812
80	1.344349598
81	1.344124953
82	1.34402369
83	1.343887719
84	1.343813663
85	1.343611815
86	1.343338776
87	1.343073286
88	1.342917248
89	1.342767569
90	1.342526084
91	1.342315399
92	1.342198973
93	1.341984103
94	1.34175455
95	1.341651502
96	1.34144652
97	1.341290241
98	1.341048611
99	1.340879156
