iter	Passed	Remaining
0	62	6173
1	65	3192
2	78	2540
3	81	1953
4	84	1599
5	87	1375
6	90	1200
7	92	1067
8	95	970
9	98	886
10	100	814
11	103	760
12	106	710
13	109	672
14	111	633
15	114	600
16	116	570
17	119	546
18	122	521
19	124	499
20	127	480
21	130	461
22	132	445
23	136	431
24	138	415
25	140	400
26	143	388
27	145	374
28	148	362
29	150	351
30	153	340
31	155	330
32	157	320
33	159	310
34	162	301
35	164	292
36	166	284
37	169	275
38	171	267
39	173	260
40	175	253
41	178	246
42	180	239
43	182	232
44	185	226
45	187	219
46	189	214
47	191	207
48	193	201
49	196	196
50	198	190
51	200	185
52	202	179
53	205	174
54	207	169
55	209	164
56	211	159
57	213	154
58	216	150
59	218	145
60	220	141
61	223	136
62	225	132
63	227	127
64	229	123
65	231	119
66	234	115
67	236	111
68	238	107
69	240	103
70	242	99
71	245	95
72	247	91
73	249	87
74	251	83
75	253	80
76	256	76
77	258	72
78	260	69
79	262	65
80	264	62
81	266	58
82	269	55
83	271	51
84	273	48
85	275	44
86	278	41
87	280	38
88	282	34
89	285	31
90	287	28
91	289	25
92	291	21
93	294	18
94	296	15
95	298	12
96	301	9
97	303	6
98	306	3
99	308	0
